id	sex	X10KW	KC	CD	CL	CW	TKW
CI64	1	2.05921379254701	182.516628841345	25.7306043262548	100.905319889685	11.5645321717653	39.2141457633635
CI66	1	1.41749081999062	134.421919702747	23.1231876082557	102.963918702749	11.2913617182594	18.6898683052585
CI7	1	1.95291666675	172.765719475	24.016125	98.9317083249998	13.6949999999999	33.5054166674997
CI90C	1	1.45249081999063	112.528021322746	19.7934376082557	91.8093353527488	7.92136171825944	15.8498683052586
CI91B	1	1.90833333324999	173.96942595	21.146875	119.866583332501	9.48333333324991	33.7445833325
CM105	1	2.5306322181015	84.3311791190492	19.3623102680241	88.0966415132713	7.81250170090282	17.910386003486
CM174	1	2.08	216.603380999999	23.85175	116.247500000001	14.695	42.2725000000002
CM37	1	1.6125	81.542677126984	21.032563243992	157.021952828911	9.5708327663657	14.3576491088382
CM7	1	2.29999999999999	99.2841461625011	21.6735000000001	87.5620000000007	6.48000000000002	23.1400000000001
CML10	1	2.60249081999062	179.916572122746	21.3154376082557	159.516668702749	17.8513617182595	48.0598683052588
CML103	1	2.42499999999999	235.47059734	24.9873333325001	136.718166650001	17.0366666675	59.2733333325001
CML108	1	2.13578008744673	187.152744340487	27.1060207459158	113.517459245481	17.0463756404076	40.3490997734758
CML11	1	2.56249081999063	149.294036122747	21.1264376082557	135.861668702748	14.2213617182594	38.4398683052585
CML14	1	1.6606322181015	151.859089829047	24.249310268024	109.423141513271	16.3575017009028	24.2903860034859
CML154Q	1	1.88588045921367	132.997452508011	28.9676043262548	133.674986556352	27.1278655050988	25.4108124300303
CML157Q	1	2.29578008744673	234.116304540487	25.4486874125823	117.800125912148	16.0930423070743	53.8824331068091
CML158Q	1	1.85411342078007	224.81745508382	26.5031874125824	131.034459245481	19.8347089737408	46.4290997734754
CML218	1	1.99999999999999	153.6546109875	25.0641666675	121.562666675001	15.6183333325	30.7766666675003
CML220	1	2.59	109.713338362501	26.5640000000001	117.024000000001	13.185	29.1450000000001
CML228	1	2.30664597788063	108.509173508795	22.0431240151384	125.972881888414	11.6341873898401	25.4415433415297
CML238	1	2.17249081999062	221.968146722747	30.8044376082557	111.375668702749	16.2013617182595	47.6398683052587
CML247	1	1.89749081999063	194.413708022746	24.6821876082557	105.963918702749	17.7313617182593	37.9873683052585
CML254	1	1.98063221810152	270.067258429048	22.4823102680241	132.604141513271	15.2375017009031	56.2103860034869
CML258	1	2.07499081999062	212.514441822746	25.3976876082557	126.241668702749	15.5413617182595	45.5423683052587
CML261	1	2.24249081999063	217.685895522745	24.6074376082557	120.199668702749	13.1413617182594	49.5998683052585
CML264	1	2.0406322181015	207.285386629047	26.2173102680239	143.17314151327	19.0175017009027	42.9903860034858
CML277	1	2.64249081999063	105.983507692745	25.0144376082557	104.072668702749	17.3813617182593	28.3598683052586
CML281	1	2.14249081999062	108.986438487746	22.5669376082557	79.4414187027479	8.55386171825937	28.4148683052584
CML287	1	2.30563221810148	200.646968629048	24.654810268024	132.326641513271	17.7375017009027	46.6353860034859
CML311	1	2.00434942187977	54.3973369864438	26.3415649484873	120.686195892227	21.4452217356161	14.9693506070313
CML314	1	2.65625	213.096655925	24.952875	128.900375000001	20.14625	55.7624999999998
CML321	1	1.9606322181015	323.015389629048	31.7853102680241	142.401141513271	25.3375017009028	67.7503860034858
CML322	1	1.74583333324999	208.9365789875	23.706875	107.787083325001	14.3625	36.0374999992502
CML323	1	1.90499999999999	154.246224377499	24.8635	118.672000000001	15.525	31.5300000000002
CML328	1	1.49800230978007	168.243044540487	21.5877985225824	96.4270148021482	8.36415341807425	23.492433106809
CML331	1	2.55249081999063	203.119182722746	25.1204376082557	117.354668702749	17.0713617182594	53.9798683052586
CML332	1	2.90249081999063	147.236606922746	24.7954376082557	117.133668702749	13.7513617182594	45.6973683052585
CML333	1	1.80466897644673	146.525060880486	21.9555763025823	101.642125912149	10.959708973741	28.7557664401427
CML341	1	2.15078008744675	123.029464540486	23.601354079249	108.760625912148	13.4980423070743	34.5190997734759
CML349	1	1.81265973765976	58.539928428542	23.9239377622529	102.699622263558	8.40087307877721	8.33270067957348
CML38	1	1.68999081999063	105.055186307747	23.3291876082557	101.992668702749	12.6938617182594	16.8898683052587
CML45	1	2.63063221810151	216.353183329048	23.172310268024	135.809141513269	17.0875017009024	57.6603860034848
CML52	1	1.46911342078006	199.962725140487	20.6940207459158	112.376125912149	10.9263756404078	31.6157664401427
CML69	1	2.34921379254701	129.991491434677	25.5462709929214	112.563653223018	16.3895321717653	32.7874790966967
CML77	1	2.39499999999999	133.111325610001	26.355	96.2265000000005	12.64	30.8699999999996
CML91	1	2.3174467541134	150.124860637154	21.5333540792491	121.922292578815	12.959708973741	40.6290997734755
CML92	1	2.354213792547	224.588269641345	27.3476043262548	133.277153223018	17.9228655050986	53.31581243003
CMV3	1	4.82478926063281	100.116239299317	22.1588965773254	103.080508385578	7.71416609969915	18.9854268878383
CO109	1	1.75235862235896	95.1820365059669	25.5221870212357	88.0150403309472	10.566403484704	18.5875627099097
CO125	1	1.48063221810149	133.980301929049	20.3773102680241	76.0391415132702	7.43750170090271	18.4103860034856
CO255	1	1.86249081999064	59.1625941127453	20.4064376082557	122.203668702749	7.50136171825944	11.2198683052586
D940Y	1	2.08249081999064	153.780097672746	22.2524376082557	117.990668702749	14.3513617182594	33.3198683052587
DE1	1	2.74958333325	269.344420775	28.0522083325	146.842750000001	22.5700000000001	75.6495833325003
DE2	1	3.02911342078006	200.239289707154	29.4263540792491	138.192792578815	28.6063756404075	61.7557664401422
DE811	1	1.92374999999999	240.652800322501	20.87575	120.230500000001	9.76625000000002	48.8112500000002
DEEXPT1	1	2.6406322181015	282.561383029048	28.821310268024	138.429141513271	16.4175017009029	77.470386003487
E2558W	1	2.0824467541134	174.643006390487	18.4866874125824	117.694792578815	8.31304230707427	37.942433106809
EP1	1	2.04	126.536961210002	23.0215000000001	111.999875000001	10.22333333325	26.1550000000001
F2	1	1.37664597788063	140.611161053795	16.6476240151385	93.2153818884145	3.70918738983992	17.6915433415296
F2834T	1	2.77166666675	72.3039764900004	19.408166665	106.033000000001	8.01500000000001	20.4799999982501
F44	1	1.72749081999063	227.630197322747	22.9106876082557	101.831668702749	10.0938617182594	39.0348683052588
F6	1	2.03978926063283	102.383558416984	17.3067299106587	89.8311194955776	6.20416609969908	21.8465379988381
F7	1	1.38063221810148	79.7450078090474	16.999310268024	89.9891415132703	5.57750170090273	7.89038600348576
GA209	1	2.04729888510148	144.966217429048	20.533976938024	100.529141513271	12.6708350309027	28.3770526734859
GT112	1	2.14668735561935	78.8199581262062	22.8447093198616	98.8509514465877	14.2841459451602	19.8551233249708
H100	1	3.60563221810151	161.114059929047	25.0998102680241	122.309141513271	14.4625017009028	56.6853860034862
H105W	1	1.91254712588034	172.044152658011	26.6582709929214	132.582986556352	18.7278655050987	35.6708124300303
H49	1	2.31396555110149	193.473972829048	24.3606435980241	111.19580818327	12.0708350309027	44.9103860034859
H84	1	2.41	256.787872550001	22.4855	111.757500000001	14.89	56.4600000000002
H91	1	2.34333333324999	221.01010275	22.4482916675	144.749166675001	16.1391666675001	51.7712500000001
H95	1	2.09833333324999	245.321308524999	24.3965	121.125166675001	12.7241666675	51.9866666675001
H99	1	2.17624999999999	183.01765075	22.443	124.067375000001	12.72875	38.3412500000002
HI27	1	1.68249081999062	159.464181772746	22.5159376082557	117.033668702749	9.15136171825945	27.3998683052587
HP301	1	0.956991570213672	178.799479041344	19.6056043262548	112.907208779685	8.73008772743202	15.8263679866969
HY	1	2.37833333324999	181.9829416325	25.356	101.305500000001	13.5233333332501	42.4416666675003
I137TN	1	2.65235862235896	102.015479555969	18.2621870212356	89.265040330947	7.01640348470384	27.2875627099098
I29	1	0.996249999999999	154.9520145975	21.1278333325	91.7207916675008	9.21750000000003	15.2604166675002
IA2132	1	1.66416666674999	208.974078375	21.1347916675001	114.029291675001	8.30583333325003	34.6533333325001
IA5125	1	1.8472988851015	65.0572249790498	17.0873102680241	60.2158081832701	3.03750170090269	8.24371933348616
IDS28	1	1.01625	209.7264892975	18.324875	95.8431250000008	7.33	23.0800000000002
IDS69	1	1.09874999999999	149.929967025	15.3928333325	103.446000000001	4.55291666675001	16.1962500000002
IDS91	1	1.11499999999999	211.424119075	18.253	117.638000000001	8.43000000000001	23.2200000000001
IL101T	1	2.02666666674999	109.3004889225	20.5363333325	98.767666667501	6.53500000000006	21.6716666675002
IL14H	1	1.80521685937341	146.569167817852	19.7288116838375	88.9559347025921	6.22492608812796	27.7768831309898
IL677A	1	1.73578008744674	133.470328067153	21.749354079249	98.6321259121481	8.14637564040758	19.4957664401423
K148	1	1.78749999999999	128.970426175	21.434875	108.278000000001	12.6575000000001	23.2612500000001
K4	1	1.73476934821367	187.349023774678	20.1202709929214	116.824986556352	10.3456432817654	34.4997013200302
K55	1	2.13699157021368	96.5903642180107	26.4441598829214	86.2629865563519	9.93230994943202	18.5952568733636
K64	1	2.50749999999999	145.93874703	23.914625	109.065000000001	14.97125	37.4912500000002
KI11	1	2.13744675411341	137.656739547153	30.1746874125825	121.753459245482	22.5630423070744	32.3440997734756
KI14	1	1.86749081999063	106.165009951246	19.4964376082557	95.7019187027485	9.06386171825942	22.0523683052586
KI2007	1	2.04063221810149	178.895556129047	24.9453102680239	127.51314151327	16.6575017009027	36.2903860034858
KI2021	1	2.82063221810148	289.521703229048	29.035310268024	153.61914151327	22.5375017009026	84.6703860034851
KI21	1	2.19499999999999	156.493331775001	20.5535000000001	106.988500000001	8.88499999999995	34.4400000000001
KI3	1	2.0556322181015	96.6118808790488	20.717310268024	92.8166415132706	8.96250170090278	17.0103860034859
KI43	1	1.23414597788063	112.700373373795	20.4031240151385	106.431881888414	8.25668738983992	12.1215433415294
KI44	1	2.62063221810149	147.449689729048	24.895310268024	131.60514151327	17.5375017009026	37.1903860034857
KY21	1	2.21416666674999	186.235949405	23.8348333325	109.895166667501	15.8775	36.4833333325001
KY226	1	2.1025	132.14293373	27.109125	97.7160000000008	15.84125	28.3387500000001
KY228	1	1.84645592729949	180.417575023651	20.0127299106587	116.538786162244	12.0708327663658	34.1098713321715
L317	1	2.03855019270674	184.338504561185	23.0391450171709	130.481768035925	15.8232594214613	33.6935497976562
L578	1	1.7574467541134	155.707450787154	24.9611874125824	107.717792578815	14.4380423070743	26.4990997734759
M14	1	2.055	212.7679148	23.29525	112.208375000001	12.30125	42.78625
M162W	1	2.80374999999999	107.342786005	21.525625	90.5878750000007	9.70500000000006	31.9275000000003
M37W	1	2.30499999999999	121.690246082501	23.372	100.534333332501	10.72333333325	28.5600000000001
MEF156-55-2	1	1.81850457976976	61.5644741574918	16.4745013553701	65.9804090778927	3.01804740719665	12.3960256433023
MO17	1	2.65833333325	213.793175275	19.775	150.457000000001	12.14	57.2383333325
MO18W	1	2.09249081999063	193.151138297746	24.0094376082557	113.366668702749	10.7613617182595	39.9473683052592
MO1W	1	1.91249999999999	245.324140469999	24.355875	97.2687083325008	11.08	45.8875000000001
MO24W	1	1.6585578651134	247.281918407154	29.2346318559157	135.584292578815	22.159708973741	39.3913219968091
MO44	1	2.0941057483734	305.151985127852	23.9545894605042	146.072379135925	20.716037198128	64.1079942409896
MO45	1	1.95999999999999	313.099872649999	24.1415	157.499000000001	19.495	59.0250000000003
MO46	1	2.50499999999999	152.179662325	23.4245	97.2865000000008	13.445	39.1250000000002
MO47	1	1.2606322181015	249.296757629049	23.4173102680241	109.213141513271	9.43750170090276	33.770386003486
MOG	1	2.37499999999999	193.2180996	28.088	107.647000000001	19.6925	43.7700000000001
MP339	1	2.27916666674999	91.1224479775	23.1792916675	110.446166675001	12.3520833325	21.9804166667502
MS1334	1	1.61855019270674	119.419060117851	20.5174783505042	136.024934702592	12.7715927547946	18.3235497976562
MS153	1	4.06999999999998	169.038957287501	26.711	118.473000000001	15.29	56.8449999999997
MS71	1	2.16999999999999	188.893019925001	21.59325	120.098000000001	17.08625	39.5512500000002
MT42	1	1.68999999999999	143.460825395	21.1445	120.087125000001	8.50375000000001	21.9475000000002
N192	1	2.26499999999999	206.9199649	25.2599999999999	130.789500000001	14.615	44.6350000000001
N28HT	1	1.86666666674999	250.4985702	24.5201666675	102.680000000001	12.265	48.2933333325001
N6	1	2.20499999999999	243.295808275	24.2178333325	124.205833332501	15.5066666675001	54.3733333325003
N7A	1	2.45749999999999	253.285787375	22.705	121.032625000001	15.77875	63.165
NC222	1	1.48482875373023	112.260220652508	19.0489153096299	79.6850909221088	7.57695259280335	18.1789743566978
NC230	1	2.09999999999999	232.0387139325	25.3545	98.6186250000008	12.7	49.325
NC232	1	2.30188352604008	153.195840627852	29.5921450171709	111.988934702592	18.0015927547946	34.8168831309897
NC236	1	2.17355019270674	66.4093879111854	19.2108672405043	90.0671013692587	7.39325942146131	13.260216464323
NC238	1	1.86749081999062	109.045962317747	24.4774376082557	101.103668702749	14.5063617182594	21.5648683052586
NC250	1	2.45124999999999	162.347577325	22.7848333325	103.341166667501	14.6983333325	39.5883333325002
NC258	1	2.15999999999999	178.786784175	25.5895	113.726500000001	16.3700000000001	38.2600000000003
NC260	1	2.22124999999999	182.0309342075	20.815375	129.050625000001	14.8875	39.7275000000001
NC262	1	2.36874999999999	256.997171227501	25.832375	113.369000000001	12.50125	55.2412500000003
NC264	1	2.37499999999999	256.646648224999	22.3595	107.678000000001	10.97	59.2400000000003
NC268	1	2.0406322181015	229.404030729046	19.2913102680241	149.33114151327	14.5175017009027	48.2103860034861
NC290A	1	2.4306322181015	180.616665529048	25.6998102680241	122.29914151327	14.6625017009027	43.5853860034859
NC292	1	2.26249999999999	166.0475811	26.750375	93.2616250000008	14.495	37.3400000000002
NC294	1	2.11499999999999	232.1737257	23.1885	111.649000000001	13.68	48.5750000000002
NC296	1	2.36874999999999	146.6971008825	22.7645	130.201625000001	10.55875	34.9637500000001
NC296A	1	2.82666666674999	95.7186851500003	21.81125	124.370583325001	9.06583333250001	28.9625
NC298	1	2.66166666674999	90.3661190975004	18.5085833325	107.199166675001	9.33583333250011	23.4375000000003
NC300	1	3.2313356431134	104.549347227154	25.1622429692491	108.693237022148	15.1774867504076	35.2490997734757
NC302	1	2.68333333324999	117.21489159	20.2015	109.992166667501	9.59333333325001	32.5383333325001
NC306	1	2.38143601488034	188.142382641344	20.6040487695881	109.491430989685	9.75453217176534	44.1530346533639
NC308	1	2.37499999999999	135.8987336325	21.4685	110.291000000001	12.43	33.0100000000001
NC310	1	1.80588045921367	314.493723008011	27.0626043262548	115.925319889686	16.4861988384321	55.3658124300306
NC312	1	2.66588045921367	180.488604308011	22.9384376595881	124.984486556352	13.7711988384321	48.0774790966969
NC314	1	2.2625	172.3914059175	21.874	121.514250000001	12.6525	40.4425000000002
NC316	1	2.46063221810151	174.843611329048	23.685310268024	115.263141513271	14.7175017009028	42.510386003486
NC318	1	1.87499999999999	147.471270525	17.7305	110.905500000001	7.82500000000003	27.9750000000002
NC320	1	2.21499999999999	257.204661575001	22.933	115.862500000001	11.485	54.9150000000001
NC322	1	2.18999999999999	176.1631077	20.697625	105.379125000001	9.64375000000002	38.3950000000001
NC324	1	3.15625	76.3449728424999	21.384	96.2701250000008	9.09625000000001	21.0900000000001
NC326	1	1.99999999999999	274.838704575	26.9771666675	118.704333325001	15.9316666675	54.7316666675001
NC328	1	2.07499999999999	223.801807825	24.4075	110.874000000001	13.26	45.5300000000001
NC33	1	2.21249081999062	125.897812972746	22.7444376082557	119.804668702749	17.0613617182594	28.5398683052587
NC330	1	2.08374999999999	220.6143921	25.655125	117.392500000001	19.4975	46.8212500000001
NC332	1	2.09499999999999	151.4685220775	19.2865	111.661500000001	9.64000000000004	31.5700000000002
NC334	1	2.00249999999999	135.3822075	19.7295	101.764750000001	8.35250000000002	27.3600000000001
NC336	1	2.6406322181015	219.655977629049	17.057310268024	130.20114151327	8.85750170090277	58.8503860034855
NC338	1	2.30411342078007	98.367090580487	21.3421874125824	96.0712925788148	9.1813756404076	23.7957664401423
NC340	1	3.60063221810151	187.500710129049	25.6833102680241	134.34714151327	15.5775017009026	66.9503860034851
NC342	1	2.42999999999999	229.60184135	23.6555	138.890000000001	17.415	55.1150000000001
NC344	1	1.96588045921368	263.667976674678	24.3496043262548	118.402319889685	17.2278655050987	53.6708124300301
NC346	1	2.50916666674999	122.688946225	23.3993333325	128.141333325001	10.0679166675	31.3391666667501
NC348	1	2.38374999999999	106.2479609725	18.55375	113.105375000001	8.84000000000002	25.6062500000002
NC350	1	1.99333333324999	98.2338875124997	20.476	88.5205000000007	7.21166666675	19.3599999992501
NC352	1	2.68333333324999	161.740692	23.2781666675	144.533000000001	11.51	44.9216666675001
NC354	1	2.08833333324999	102.81676135	21.6928333325	101.976333325001	10.4225	21.6775000000002
NC356	1	2.43999999999999	163.5288611125	20.485	97.5347500000008	8.83750000000002	40.7675000000002
NC358	1	2.22166666674999	195.34072225	23.588125	120.631375000001	14.9025	43.1662500000001
